종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"336260","두산퓨얼셀","KOSPI","전기전자","20050","60","0.30","1313149206300"
"33626K","두산퓨얼셀1우","KOSPI","전기전자","6160","0","0.00","82323472000"
"33626L","두산퓨얼셀2우B","KOSPI","전기전자","7970","-370","-4.44","23800811000"
"016740","두올","KOSPI","운수장비","4150","140","3.49","137226722000"
"192650","드림텍","KOSPI","전기전자","10770","-160","-1.46","741051928500"
"024090","디씨엠","KOSPI","철강금속","11290","70","0.62","128706000000"
"003160","디아이","KOSPI","의료정밀","9600","-210","-2.14","271680000000"
"092200","디아이씨","KOSPI","운수장비","4985","-45","-0.89","193859516465"
"377190","디앤디플랫폼리츠","KOSPI","서비스업","3600","40","1.12","231840000000"
"013570","디와이","KOSPI","기타금융","5940","100","1.71","156338620020"
"210540","디와이파워","KOSPI","기계","13100","120","0.92","144646374800"
"115390","락앤락","KOSPI","화학","6230","20","0.32","269923540530"
